dr7objid,ra,dec,z,petroR50_r,deVAB_r,seeing_r,run,camcol,rerun,field,Zoo1,image
5.87722983908442E+017,227.6719,0.4441944,0.072534,3.959201,0.9999868,1.181304,752,5,40,562,E,fpC-000752-r5-0562.fit.gz
5.87742551227958E+017,243.2292,11.08264,0.0409202,4.434981,0.9999866,1.03291,5308,4,40,339,E,fpC-005308-r4-0339.fit.gz
5.8773574261742E+017,242.7583,29.52467,0.0519764,4.135752,0.999982,1.111955,3723,2,40,131,E,fpC-003723-r2-0131.fit.gz
5.88017947736277E+017,169.1874,40.93919,0.0753653,3.927433,0.9999635,1.222247,3893,2,41,96,E,fpC-003893-r2-0096.fit.gz
5.88015509281899E+017,28.65937,0.2041944,0.0824676,3.625144,0.9999338,1.04598,3325,4,41,299,E,fpC-003325-r4-0299.fit.gz
5.87728669876355E+017,116.6787,36.07333,0.0634857,4.889564,0.9998947,1.301759,2076,4,40,75,E,fpC-002076-r4-0075.fit.gz
5.87741602035991E+017,194.9971,27.19744,0.0606448,7.247511,0.9998807,1.354506,5087,4,40,275,E,fpC-005087-r4-0275.fit.gz
5.87742015427445E+017,175.005,23.33892,0.0503273,4.810638,0.9998758,1.495531,5183,6,40,288,E,fpC-005183-r6-0288.fit.gz
5.87741489302667E+017,180.1484,29.19619,0.0810569,3.585777,0.9998681,1.104306,5061,2,40,421,E,fpC-005061-r2-0421.fit.gz
5.88010358545056E+017,170.0742,4.320361,0.0490992,4.800957,0.9998343,1.092529,2126,2,41,340,E,fpC-002126-r2-0340.fit.gz
5.88018253215302E+017,225.2531,44.58061,0.0868509,5.012039,0.9998142,1.171274,3964,3,41,88,E,fpC-003964-r3-0088.fit.gz
5.87739405705151E+017,176.0388,33.48228,0.0314832,4.118118,0.9998139,1.150863,4576,1,40,398,E,fpC-004576-r1-0398.fit.gz
5.87735742612374E+017,231.5807,36.31008,0.0654444,3.395131,0.9998009,1.045399,3723,2,40,54,E,fpC-003723-r2-0054.fit.gz
5.87745540520346E+017,155.6189,15.75389,0.0444046,5.059065,0.9997632,1.511051,6004,4,40,265,E,fpC-006004-r4-0265.fit.gz
5.87735663163605E+017,160.1679,40.64408,0.0816505,4.557088,0.9997296,1.143558,3704,6,40,178,E,fpC-003704-r6-0178.fit.gz
5.88017977832506E+017,221.9192,33.12775,0.0869804,4.250106,0.999719,0.9692987,3900,2,41,576,E,fpC-003900-r2-0576.fit.gz
5.8774290179018E+017,191.2473,16.47261,0.060275,3.113905,0.9997168,0.938925,5390,1,40,118,E,fpC-005390-r1-0118.fit.gz
5.87727943496696E+017,149.1395,1.849222,0.0327812,5.644514,0.9996946,1.575604,1907,3,40,177,E,fpC-001907-r3-0177.fit.gz
5.87739381529051E+017,229.4967,26.87806,0.0849014,6.104288,0.9990851,1.220989,4570,4,40,140,E,fpC-004570-r4-0140.fit.gz
5.87738569774596E+017,178.5969,15.20528,0.0806143,3.478197,0.9990655,0.8819914,4381,4,40,54,E,fpC-004381-r4-0054.fit.gz
5.87731185673372E+017,14.41742,-0.5912778,0.0456035,4.06146,0.9964798,1.245092,2662,2,40,379,E,fpC-002662-r2-0379.fit.gz
5.87742575917924E+017,214.8884,16.85717,0.0726555,4.563347,0.9964656,1.163507,5314,2,40,246,E,fpC-005314-r2-0246.fit.gz
