dr7objid,ra,dec,z,petroR50_r,deVAB_r,seeing_r,run,camcol,rerun,field,Zoo1,image
587722983908442326,227.6719,0.4441944,0.072534,3.959201,0.9999868,1.181304,752,5,40,562,E,fpC-000752-r5-0562.fit.gz
587742551227957505,243.2292,11.08264,0.0409202,4.434981,0.9999866,1.03291,5308,4,40,339,E,fpC-005308-r4-0339.fit.gz
587735742617419887,242.7583,29.52467,0.0519764,4.135752,0.999982,1.111955,3723,2,40,131,E,fpC-003723-r2-0131.fit.gz
588017947736277140,169.1874,40.93919,0.0753653,3.927433,0.9999635,1.222247,3893,2,41,96,E,fpC-003893-r2-0096.fit.gz
588015509281898683,28.65937,0.2041944,0.0824676,3.625144,0.9999338,1.04598,3325,4,41,299,E,fpC-003325-r4-0299.fit.gz
587728669876355363,116.6787,36.07333,0.0634857,4.889564,0.9998947,1.301759,2076,4,40,75,E,fpC-002076-r4-0075.fit.gz
587741602035990673,194.9971,27.19744,0.0606448,7.247511,0.9998807,1.354506,5087,4,40,275,E,fpC-005087-r4-0275.fit.gz
587742015427444811,175.005,23.33892,0.0503273,4.810638,0.9998758,1.495531,5183,6,40,288,E,fpC-005183-r6-0288.fit.gz
587741489302667418,180.1484,29.19619,0.0810569,3.585777,0.9998681,1.104306,5061,2,40,421,E,fpC-005061-r2-0421.fit.gz
588010358545055747,170.0742,4.320361,0.0490992,4.800957,0.9998343,1.092529,2126,2,41,340,E,fpC-002126-r2-0340.fit.gz
588018253215301834,225.2531,44.58061,0.0868509,5.012039,0.9998142,1.171274,3964,3,41,88,E,fpC-003964-r3-0088.fit.gz
587739405705150653,176.0388,33.48228,0.0314832,4.118118,0.9998139,1.150863,4576,1,40,398,E,fpC-004576-r1-0398.fit.gz
587735742612373777,231.5807,36.31008,0.0654444,3.395131,0.9998009,1.045399,3723,2,40,54,E,fpC-003723-r2-0054.fit.gz
587745540520345646,155.6189,15.75389,0.0444046,5.059065,0.9997632,1.511051,6004,4,40,265,E,fpC-006004-r4-0265.fit.gz
587735663163605142,160.1679,40.64408,0.0816505,4.557088,0.9997296,1.143558,3704,6,40,178,E,fpC-003704-r6-0178.fit.gz
588017977832505698,221.9192,33.12775,0.0869804,4.250106,0.999719,0.9692987,3900,2,41,576,E,fpC-003900-r2-0576.fit.gz
