photoobjId,ra,dec,petroR50_r,deVAB_r,seeing_r,run,rerun,camcol,field,Zoo1,image
587725040093364335,183.32517684,-2.81033794,1.32772,0.7029876,1.567532,1231,40,3,94,E,fpC-001231-r3-0094.fit.gz
587722984434040972,201.94226157,0.9678357,3.222006,0.8566038,1.334131,752,40,6,390,E,fpC-000752-r6-0390.fit.gz
587722984422309918,175.13191821,0.85318194,4.232775,0.8941494,2.294284,752,40,6,211,E,fpC-000752-r6-0211.fit.gz
587722983911981322,235.74141773,0.54019751,5.663802,0.6753986,1.439102,752,40,5,616,E,fpC-000752-r5-0616.fit.gz
587724648183234671,179.9099087,-3.37762149,2.626052,0.5674732,1.337364,1140,40,1,180,E,fpC-001140-r1-0180.fit.gz
587725490525044957,256.4399349,59.26143957,2.508449,0.8691727,1.756927,1336,40,2,48,E,fpC-001336-r2-0048.fit.gz
587725551197356189,124.36251704,49.25689842,2.321035,0.9331264,1.638338,1350,40,3,138,E,fpC-001350-r3-0138.fit.gz
587725491060277495,254.39536708,62.87250396,3.129322,0.8012996,1.487994,1336,40,3,23,E,fpC-001336-r3-0023.fit.gz
587725490524258569,255.53442194,60.96355174,3.500401,0.8173428,1.719222,1336,40,2,36,E,fpC-001336-r2-0036.fit.gz
587725471207653516,132.28497574,53.78013691,2.990228,0.8999458,1.330777,1331,40,6,200,E,fpC-001331-r6-0200.fit.gz
587724649255862420,177.29845753,-2.66605164,1.91073,0.7613209,1.255295,1140,40,3,163,E,fpC-001140-r3-0163.fit.gz
587722983359709399,200.67786303,0.15933242,4.109306,0.8386914,1.303497,752,40,4,381,E,fpC-000752-r4-0381.fit.gz
587724649799680055,193.22154883,-2.17623502,4.411823,0.7824982,1.616129,1140,40,4,269,E,fpC-001140-r4-0269.fit.gz
587725039014510724,171.58790025,-3.51466726,2.63492,0.9153091,1.609303,1231,40,1,16,E,fpC-001231-r1-0016.fit.gz
587725040626499614,174.7786895,-2.3090165,4.89735,0.8516983,1.691875,1231,40,4,37,E,fpC-001231-r4-0037.fit.gz
587724198812188787,9.33865954,15.0132313,2.815935,0.8484521,1.630661,1035,40,4,26,E,fpC-001035-r4-0026.fit.gz
587725039562719382,197.546484,-3.15627875,3.749559,0.7486214,1.436628,1231,40,2,189,E,fpC-001231-r2-0189.fit.gz
587725074991743282,138.49029155,0.0366018,3.090404,0.8262535,1.271218,1239,40,4,121,E,fpC-001239-r4-0121.fit.gz
587724198814351504,14.50786749,14.86505377,3.345788,0.8913226,1.215935,1035,40,4,59,E,fpC-001035-r4-0059.fit.gz
587726015090786626,229.94666388,1.59324896,1.677497,0.8252659,1.176777,1458,40,3,702,E,fpC-001458-r3-0702.fit.gz
587725469055844556,124.22343046,45.22706847,2.994468,0.9031149,1.301785,1331,40,2,134,E,fpC-001331-r2-0134.fit.gz
587726016686325884,195.47307931,3.64530644,2.730171,0.7807692,1.488518,1458,40,6,472,E,fpC-001458-r6-0472.fit.gz
587726016686325885,195.47579956,3.6509316,1.789519,0.8698758,1.488518,1458,40,6,472,E,fpC-001458-r6-0472.fit.gz
587727180599394441,5.72205646,-8.99904987,4.661932,0.8891065,1.612614,1729,40,6,120,E,fpC-001729-r6-0120.fit.gz
587726032236183677,151.72634135,1.71700164,4.334212,0.6566858,1.179221,1462,40,3,176,E,fpC-001462-r3-0176.fit.gz
587726015075254466,194.46764987,2.3516085,3.203908,0.7881238,1.294433,1458,40,3,465,E,fpC-001458-r3-0465.fit.gz
587727180085657727,58.79113171,-5.4948384,1.843914,0.7435156,1.35955,1729,40,5,473,E,fpC-001729-r5-0473.fit.gz
587727222475325838,331.91565524,12.91812978,3.006462,0.8204767,1.197322,1739,40,4,120,E,fpC-001739-r4-0120.fit.gz
587726031187738802,209.56572125,1.16531731,4.18364,0.7819762,1.339216,1462,40,1,562,E,fpC-001462-r1-0562.fit.gz
587726031712616555,182.16090702,1.83023741,2.296306,0.9802662,1.323167,1462,40,2,379,E,fpC-001462-r2-0379.fit.gz
587727214422851609,326.60038039,-7.25811337,2.979241,0.8638446,1.056737,1737,40,5,129,E,fpC-001737-r5-0129.fit.gz
587722981739855982,179.54159511,-1.07636238,3.331473,0.9926448,2.134765,752,40,1,240,E,fpC-000752-r1-0240.fit.gz
587722982284656769,197.57398386,-0.65462988,2.041929,0.665768,1.355084,752,40,2,361,E,fpC-000752-r2-0361.fit.gz
587725818566738064,216.6904122,64.98014256,1.58154,0.6860305,1.291219,1412,40,5,255,E,fpC-001412-r5-0255.fit.gz
587725552816816281,150.14725092,64.23320596,3.500556,0.7897973,1.572995,1350,40,6,273,E,fpC-001350-r6-0273.fit.gz
587725816413814907,186.10030418,66.58300406,1.831096,0.752099,1.460953,1412,40,1,172,E,fpC-001412-r1-0172.fit.gz
587727222470934941,321.71964562,11.40938993,3.73126,0.8224618,1.290905,1739,40,4,53,E,fpC-001739-r4-0053.fit.gz
587727213885915309,326.49152888,-7.79685362,4.313307,0.8868874,1.011037,1737,40,4,128,E,fpC-001737-r4-0128.fit.gz
587726878350508262,344.855482,-9.49698358,5.05347,0.8904878,1.370573,1659,40,3,264,E,fpC-001659-r3-0264.fit.gz
587727212274319727,324.03156639,-8.65932917,3.090596,0.8658743,1.181577,1737,40,1,113,E,fpC-001737-r1-0113.fit.gz
