r1,r2,kl1,kl2,KL,hell,N
0.55,0.15,-0.0255324903,1.2257021331,0.6256173117,0.6811430865,0.5766739968
0.55,0.25,0.1715298118,1.5742386832,0.8728842475,0.7441723065,0.8050883552
0.55,0.35,-0.137106808,1.7561211572,0.9466139826,0.7832306429,0.9469987958
0.55,0.45,-0.1628398795,1.1563886728,0.6596142762,0.8229866758,1.0341449365
0.65,0.15,-0.0836953063,1.2053597339,0.6445275201,0.7121478171,0.6702775837
0.65,0.25,0.2471105695,1.0591807452,0.6531456573,0.7695524637,0.8748493022
0.65,0.35,-0.1531351505,1.9962976183,1.0747163844,0.7791365909,0.9694234151
0.65,0.45,-0.2236382364,1.2314333352,0.7275357858,0.8135100829,0.8446437068
0.75,0.15,-0.1322644725,0.8480113257,0.4901378991,0.7752183957,0.5112609527
0.75,0.25,-0.0599959147,0.4999495069,0.2799727108,0.8454377396,0.5986844394
0.75,0.35,-0.1468070347,1.5359859432,0.8413964889,0.8495797287,0.5860686224
0.75,0.45,-0.1477088047,1.8023649352,0.9750368699,0.8542166631,0.4816521783
